Substance,Weight (g/cm³),Specific Gravity,Strength,Flammability
Alcohol,0.789,0.79,Very weak,0.85
Petroleum Products,Various,Various,Various,0.92
Gasoline,Various,Various,Various,0.91
Propane,1.88,1.88,Very low,0.78
Paper,Various,Various,Various,0.75
Wood,Various,Various,Various,0.8
Natural Leather,Various,Various,Various,0.82
Ammonia,0.771,0.77,Very weak,0.88
Methane,0.656,0.656,Weak,0.73
Acetylene,0.0011,0.0011,Very weak,0.95
Gunpowder,Various,Various,Various,0.98
Sodium,0.97,0.97,Weak,0.97
Alkyl Benzene,Various,Various,Various,0.9
Isopropyl Alcohol,Various,Various,Various,0.85
Acetic Acid,Various,Various,Various,0.88
Mineral Oil,Various,Various,Various,0.9
Ammonium Nitrate,Various,Various,Various,0.92
Nitrates,Various,Various,Various,0.85
Sulfuric Acid,Various,Various,Various,0.78
Carbon Disulfide,Various,Various,Various,0.92
Sulfuric Acid,Various,Various,Various,0.85
Copper Sulfate,Various,Various,Various,0.88
Fossil Fuels,Various,Various,Various,0.95
Sunflower Oil,0.92,0.92,Weak,0.85
Chloroform,1.483,1.483,Low,0.92
Phosphates,Various,Various,Various,0.9
Asphalt,Various,Various,Various,0.95
Uranium,19.05,19.05,Very high,0.92
Hydrogen Peroxide,1.45,1.45,Very low,0.98
Chemical Waste,Various,Various,Various,0.9
Arsenic Compounds,Various,Various,Various,0.9
Diesel Fuel,Various,Various,Various,0.9
Natural Gas,0.656,0.656,Weak,0.95
